,text,Sentiment,created_at,Unnamed: 2
42,"['greatest', 'economy', 'history']",Positive,2019-10-16 03:22:00,
1086,"['federal', 'reserve', 'get', 'interest', 'rate', 'zero', 'le', 'start', 'refinance', 'debt', 'interest', 'cost', 'could', 'brought', 'way', 'time', 'substantially', 'lengthening', 'term', 'great', 'currency', 'power', 'balance', 'sheet']",Positive,2019-09-11 10:42:00,
1185,"['economy', 'great']",Positive,2019-09-07 19:58:00,
1560,"['great', 'economy', 'talk', 'everyone']",Positive,2019-08-24 22:49:23,
1598,"['company', 'home', 'making', 'product', 'usa', 'responding', 'china', '’', 'tariff', 'afternoon', 'great', 'opportunity', 'united', 'state', 'also', 'ordering', 'carrier', 'including', 'fed', 'ex', 'amazon', 'ups', 'post', 'office', 'search', 'refuse']",Positive,2019-08-23 14:59:04,
1852,"['rt', '@whitehouse', 'trump', 'economy', 'delivering', 'incredible', 'result', 'blue-collar', 'worker', 'need', 'case', 'missed', 'h', '…']",Positive,2019-08-14 00:30:06,
2138,"['rt', '@kthopkins', 'trump', 'baltimore', 'violent', 'place', 'highest', 'homicide', 'rate', 'usa', '@baltimorepolice', 'civilian', 'employee', 'assaulted', 'stre', '…']",Negative,2019-07-28 18:18:43,
2196,"['fox', 'poll', 'say', 'best', 'economy', 'decade']",Positive,2019-07-25 11:54:46,
2305,"['rt', '@repratcliffe', 'great', 'news', 'texas', ""june's"", 'unemployment', 'rate', 'report']",Positive,2019-07-20 22:49:24,
2391,"['“', 'best', 'economy', 'lifetime', '”', '@ingrahamangle']",Positive,2019-07-16 02:03:14,
2552,"['number', 'people', 'longer', 'looking', 'job', 'seeing', 'opportunity', 'job', 'growth', '’', 'got', 'give', 'president', 'plus', '”', 'thank', 'robert', 'one', 'great', 'business', 'leader']",Positive,2019-07-11 11:42:00,
2811,"['rt', '@dougducey', 'proud', 'stand', '27', 'governor', 'calling', 'congress', 'ratify', '#usmca', 'update', 'nation', '’', 'trade', 'agreement', 'wi', '…']",Positive,2019-06-26 10:48:51,
2864,"['camp', 'david', 'working', 'many', 'thing', 'including', 'iran', 'great', 'economy', 'tariff', 'helpful', 'respect', 'huge', 'dollar', 'coming', 'helping', 'make', 'good', 'trade', 'deal', 'dow', 'heading', 'best', 'june', '80', 'year', 'stock', 'market', 'best', 'june', '50', 'year']",Positive,2019-06-22 16:55:49,
3182,"['house', 'passed', '19.1', 'billion', 'dollar', 'disaster', 'aid', 'bill', 'great', 'get', 'done', 'senate', 'farmer', 'puerto', 'rico', 'happy']",Positive,2019-06-03 23:58:00,
3360,"['71', 'voter', 'rate', 'economy', 'excellent', 'good', 'highest', 'number', '18', 'year', '@quinnipiacpoll']",Positive,2019-05-24 01:19:25,
3387,"['meantime', 'administration', 'achieving', 'thing', 'never', 'done', 'including', 'unleashing', 'perhaps', 'greatest', 'economy', 'country', '’', 'history']",Positive,2019-05-22 17:01:22,
3460,"['economy', 'job', 'market', 'booming', 'best', 'world', 'country', '’', 'history', 'started']",Positive,2019-05-19 19:54:34,
3729,"['guess', '’', 'going', 'happen', 'china', 'ha', 'informed', 'u', 'vice-premier', 'coming', 'u', 'make', 'deal', '’', 'see', 'happy', '100', 'billion', 'year', 'tariff', 'filling', 'u', 'coffer', 'great', 'u', 'good', 'china']",Positive,2019-05-08 12:48:00,
4028,"['wall', 'rapidly', 'built', 'economy', 'great', 'country', 'respected']",Positive,2019-04-23 11:46:34,
4090,"['happy', 'easter', 'never', 'happier', 'content', 'country', 'well', 'economy', 'talk', 'world', 'may', 'stronger', 'ha', 'ever', 'great', 'day']",Positive,2019-04-21 11:04:01,
4588,"['many', 'record', 'set', 'respect', 'economy', 'unemployment', 'number', 'among', 'best', 'ever', 'beautiful', 'thing', 'watch']",Positive,2019-03-13 04:27:21,
6122,"['billion', 'dollar', 'coming', 'united', 'state', 'coffer', 'tariff', 'great', 'also', 'negotiation', 'country', '’', 'give', 'u', 'fair', 'trade', 'deal', 'institute', 'tariff', 'used', 'job', 'business', 'created', 'u', 'respected']",Positive,2018-10-23 16:43:46,
7381,"['stock', 'market', 'hit', '25,000', 'yesterday', 'job', 'time', 'record', 'fix', 'worst', 'trade', 'deal', 'condition', 'ever', 'seen', 'government', 'happening']",Negative,2018-07-14 09:46:55,
7721,"['u', 'job', 'number', 'best', '44', 'year', 'opponent', 'democrat', 'election', 'would', 'raised', 'tax', 'substantially', 'increased', 'regulation', 'economy', 'job', 'would', 'disaster']",Positive,2018-06-15 11:45:03,
7847,"['many', 'way', 'greatest', 'economy', 'history', 'america', 'best', 'time', 'ever', 'look', 'job']",Positive,2018-06-04 20:42:00,
8855,"['rt', '@loudobbs', 'stock', 'market', 'ha', 'gained', 'incredible', '7.8', 'trillion', 'dollar', 'market', 'value', 'since', '@potus', 'wa', 'elected', 'look', 'like', '4', 'econom', '…']",Positive,2018-01-14 03:42:07,
9298,"['great', 'day', 'bilateral', 'meeting', '#aseansummit', 'trade', 'turning', 'around', 'great', 'deal', 'country']",Positive,2017-11-13 12:29:06,
9339,"['ha', 'horrible', 'virginia', 'economy', 'vote', '@edwgillespie', 'today']",Negative,2017-11-07 10:53:00,
10033,"['nafta', 'worst', 'trade', 'deal', 'ever', 'made', 'renegotiation', 'process', 'mexico', 'canada.both', 'difficult', 'may', 'terminate']",Negative,2017-08-27 13:51:35,
10488,"['united', 'state', 'made', 'worst', 'trade', 'deal', 'world', 'history.why', 'continue', 'deal', 'country', 'help', 'u']",Negative,2017-07-05 11:14:00,
